participant_id,experiment,num_correct,time,Age,Sex
450,control,35,779.5,57,Male
451,control,41,379.2,47,Female
452,control,36,713.8,28,Female
453,control,39,396.5,37,Male
454,control,37,753.3,43,Male
455,control,43,525.4,22,Male
456,control,37,649.7,22,Female
457,control,37,767.8,28,Male
458,control,36,724.6,20,Female
459,control,32,340.9,26,Male
460,control,21,2733.6,40,Male
461,control,31,532.0,29,Male
462,control,27,621.8,23,Male
463,control,36,937.9,30,Male
464,control,21,664.8,21,Female
465,control,34,702.6,53,Female
466,control,40,681.3,24,Female
467,control,40,472.7,29,Female
468,control,22,781.1,26,Male
469,control,22,691.7,27,Female
470,control,45,409.5,23,Female
471,control,32,491.8,22,Male
472,control,44,813.3,34,Female
473,control,39,606.3,26,Male
474,control,36,311.2,24,Male
475,control,21,367.5,25,Female
476,control,40,345.7,22,Male
477,control,46,589.7,23,Female
478,control,27,1242.6,26,Female
479,control,34,1279.4,29,Female
480,control,29,767.7,21,Female
481,control,31,1618.8,27,Female
482,control,45,1245.7,63,Male
483,control,39,345.6,22,Male
484,control,34,836.5,27,Female
485,control,33,1823.0,28,Female
486,control,37,582.1,31,Male
487,control,24,371.6,24,Male
488,control,37,383.1,23,Male
489,control,34,1301.3,59,Female
490,control,26,497.5,32,Female
491,control,26,655.9,26,Male
492,control,41,775.6,36,Female
493,control,40,439.8,34,Male
494,control,33,361.8,24,Male
495,control,39,555.0,26,Female
496,control,40,665.6,31,Female
497,control,33,461.4,20,Male
498,control,32,1549.0,21,Female
499,control,37,374.7,23,Male
500,topk,42,577.8,26,Female
501,topk,27,370.8,27,Male
502,topk,42,675.7,28,Female
503,topk,30,801.8,29,Female
504,topk,38,835.7,44,Male
505,topk,43,584.3,42,Male
506,topk,24,995.3,57,Female
507,topk,35,535.6,23,Male
508,topk,40,333.3,21,Male
509,topk,39,264.7,21,Male
510,topk,35,699.4,25,Male
511,topk,30,982.4,23,Male
512,topk,33,727.1,29,Female
513,topk,39,1182.5,26,Female
514,topk,38,679.1,34,Male
515,topk,32,624.8,22,Male
516,topk,39,562.7,28,Male
517,topk,46,626.0,48,Male
518,topk,40,321.5,21,Female
519,topk,42,473.0,26,Female
520,topk,38,248.0,20,Male
521,topk,39,423.2,24,Male
522,topk,26,648.8,22,Female
523,topk,36,394.2,29,Male
524,topk,39,532.6,33,Female
525,topk,39,1309.3,22,Female
526,topk,43,559.9,24,Male
527,topk,43,405.4,27,Male
528,topk,44,559.4,31,Male
529,topk,40,370.5,21,Male
530,topk,42,898.8,23,Male
531,topk,37,700.9,22,Female
532,topk,42,451.6,21,Male
533,topk,40,400.7,30,Female
534,topk,41,1019.2,36,Female
535,topk,42,742.5,25,Male
536,topk,37,722.8,20,Male
537,topk,29,1107.6,24,Male
538,topk,44,469.3,31,Male
539,topk,36,335.7,24,Female
540,topk,30,941.0,29,Male
541,topk,33,826.9,23,Male
542,topk,44,769.8,73,Male
543,topk,43,908.4,41,Male
544,topk,31,1625.7,27,Male
545,topk,47,384.3,22,Female
546,topk,33,733.5,26,Male
547,topk,43,502.1,21,Female
548,topk,37,616.4,23,Female
549,topk,42,305.1,29,Male
550,conformal,43,387.8,22,Male
551,conformal,43,350.1,22,Female
552,conformal,35,369.9,24,Female
553,conformal,43,599.7,21,Male
554,conformal,40,1028.7,26,Female
555,conformal,38,356.7,20,Female
556,conformal,41,600.0,23,Male
557,conformal,41,474.8,42,Female
558,conformal,37,263.2,30,Female
559,conformal,43,244.0,27,Male
560,conformal,44,211.7,22,Male
561,conformal,42,412.5,26,Male
562,conformal,45,283.1,19,Male
563,conformal,38,224.7,24,Male
564,conformal,40,265.5,23,Male
565,conformal,38,448.1,54,Female
566,conformal,39,318.1,22,Male
567,conformal,41,853.9,29,Male
568,conformal,44,294.7,21,Male
569,conformal,41,285.3,21,Female
570,conformal,47,781.2,31,Male
571,conformal,44,373.0,25,Male
572,conformal,40,324.2,23,Male
573,conformal,39,408.6,25,Male
574,conformal,41,452.3,25,Female
575,conformal,41,228.8,24,Male
576,conformal,40,704.6,24,Female
577,conformal,38,287.1,25,Male
578,conformal,39,226.3,27,Male
579,conformal,41,694.7,31,Female
580,conformal,41,707.0,27,Female
581,conformal,46,179.4,25,Female
582,conformal,42,408.6,29,Male
583,conformal,46,278.4,25,Male
584,conformal,45,403.4,22,Male
585,conformal,37,159.9,22,Female
586,conformal,40,395.5,22,Male
587,conformal,39,300.5,31,Female
588,conformal,42,301.8,25,Male
589,conformal,39,280.8,23,Male
590,conformal,40,317.7,41,Female
591,conformal,34,540.2,51,Female
592,conformal,43,358.3,23,Male
593,conformal,40,635.7,23,Female
594,conformal,38,422.9,35,Male
595,conformal,41,957.5,27,Female
596,conformal,32,780.0,20,Female
597,conformal,44,481.7,19,Male
598,conformal,42,421.6,22,Female
599,conformal,41,811.4,52,Male
